dummy1,dummy2,dummy3,lag0,lag1,lag2,tariff,gprice,iprice,usprice,income,time,timesq,y,x1,x2,z0,z1,z2
0,0,0,-4.304532,-8.458053,-25.33595,0.3001046,8.116838,7.916443,4.685367,4.756951,44,1.936,3.159492,-0.0715837,3.359887,-26.58876,-53.02652,-159.0413
1,0,0,-4.39516,-8.502571,-25.27649,0.3001046,7.920729,8.030735,4.680278,4.928017,45,2.025,3.102718,-0.2477393,2.992712,-27.53472,-54.7817,-164.1139
0,1,0,-4.435641,-8.64196,-25.55698,0.1823216,8.230674,8.017307,4.69866,5.060215,46,2.116,2.957093,-0.3615546,3.170459,-28.82511,-57.42089,-171.8938
0,0,1,-4.434643,-8.892613,-26.5094,0.1823216,8.128091,8.217709,4.690246,4.830687,47,2.209,3.387022,-0.1404409,3.297404,-27.67647,-55.37627,-165.9604
0,0,0,-4.272728,-8.966723,-26.9266,0.1823216,8.084033,8.036573,4.675349,4.887786,48,2.304,3.148787,-0.2124367,3.196247,-27.80005,-56.02137,-168.0905
1,0,0,-4.003306,-8.827843,-27.07473,0.1823216,8.265141,8.04783,4.630643,4.974946,49,2.401,3.072883,-0.3443036,3.290195,-27.96643,-56.75409,-170.8535
0,1,0,-3.587896,-8.187219,-25.51407,0.1397619,8.38892,8.142936,4.638798,4.89289,50,2.5,3.250045,-0.2540922,3.496029,-27.35354,-55.71851,-168.1079
0,0,1,-3.133494,-7.316235,-23.10327,0.1397619,8.492688,8.284252,4.641599,4.648197,51,2.601,3.636055,-0.0065975,3.844491,-25.67567,-52.40058,-158.3563
0,0,0,-2.78033,-6.260306,-19.7438,0.1397619,8.443164,8.37263,4.651767,4.687645,52,2.704,3.684985,-0.0358782,3.755519,-25.51974,-51.73914,-156.1803
1,0,0,-2.478872,-5.425415,-16.96865,0.1397619,8.520184,8.206857,4.675069,5.06685,53,2.809,3.140007,-0.3917813,3.453333,-27.11431,-54.6963,-164.7813
,,,,,,0.0953102,,,,,,,,,,,,
