dummy1,dummy2,dummy3,lag0,lag1,lag2,tariff,gprice,iprice,usprice,income,time,timesq,y,x1,x2,z0,z1,z2
0,1,0,-4.165451,-8.114486,-24.18207,0,7.999525,7.647309,4.60517,7.574456,34,1.156,0.0728526,-2.969286,0.4250689,-42.03773,-83.85905,-251.4158
0,0,1,-4.328265,-8.352627,-24.93995,0,8.06102,7.635304,4.601463,7.594029,35,1.225,0.041275,-2.992566,0.4669909,-42.29841,-84.29292,-252.7608
0,0,0,-4.441485,-8.49019,-25.01995,0,8.05918,7.640604,4.589853,7.616185,36,1.296,0.0244188,-3.026332,0.4429951,-42.52241,-84.65204,-253.5055
1,0,0,-4.489279,-8.898673,-26.27681,0,7.970871,7.747597,4.591274,7.671361,37,1.369,0.0762362,-3.080087,0.29951,-42.84608,-85.61228,-256.4176
0,1,0,-4.521243,-9.192825,-27.52789,0.3715636,8.000868,7.83716,4.602868,7.700793,38,1.444,0.1363673,-3.097925,0.3000751,-41.16739,-82.48512,-247.4048
0,0,1,-4.513847,-9.247934,-28.10411,0.3715636,8.202318,8.111028,4.632104,7.720861,39,1.521,0.3901668,-3.088757,0.4814572,-41.26033,-82.74091,-248.583
0,0,0,-4.413581,-9.005424,-27.33204,0.3715636,8.290338,8.082093,4.667863,7.7434,40,1.6,0.3386931,-3.075537,0.5469375,-41.27276,-82.72379,-248.4871
1,0,0,-4.296472,-8.647219,-25.89754,0.3715636,7.973124,8.280204,4.717427,7.765823,41,1.681,0.5143809,-3.048396,0.2073011,-41.26777,-82.58981,-247.7253
0,1,0,-4.27025,-8.656742,-26.05371,0.3001046,8.114878,7.989561,4.717606,7.789206,42,1.764,0.2003551,-3.0716,0.3256717,-41.71576,-83.54776,-250.7268
0,0,1,-4.295199,-8.602006,-26.01251,0.3001046,8.041138,8.109225,4.701026,7.799344,43,1.849,0.3098812,-3.098318,0.2417936,-41.7914,-83.5944,-250.9897
0,0,0,-4.304532,-8.458053,-25.33595,0.3001046,8.116838,7.990238,4.685367,7.816054,44,1.936,0.1741843,-3.130687,0.3007846,-41.88428,-83.61755,-250.8144
1,0,0,-5.046327,-10.56837,-32.13538,0,8.055514,7.49443,4.28524,4.54086,17,0.289,2.95357,-0.25562,3.514654,-27.75063,-55.97697,-168.3612
