c_e,c_I,vx,l_ex,l_im
Min,Wis,3928981355,1,1
MO,Ala ,472947314,1,1
MO,Ari ,562465789,1,1
MO,Cal,3540378036,1,1
MO,Flo,1461272665,1,1
MO,Geo,1033860759,1,1
MO,Ida,136088779,1,1
MO,Ill,5509784468,1,1
MO,Ind,1523883852,1,1
MO,Ken,1062837838,1,1
MO,Lou,1000744099,1,1
MO,Mai,63646083,1,1
MO,Mry,772032159,1,1
MO,Mas,437243414,1,1
MO,Mic,1454028395,1,1
MO,Min,1362440130,1,1
MO,MO ,18792670202,1,1
MO,Mon,94692952,1,1
MO,NHm,36738796,1,1
MO,NJr,858963394,1,1
MO,Nyr,0,1,1
MO,Nca,903463907,1,1
MO,Nda,113321074,1,1
MO,Ohi,1590117174,1,1
MO,Pen,1382620595,1,1
MO,Ten ,1202031303,1,1
MO,Tex,4642024461,1,1
MO,Ver,21732809,1,1
MO,Vir,849131885,1,1
MO,Was,0,1,1
MO,Wis,1070082107,1,1
Mon,Ala ,14488539,1,1
Mon,Ari ,37773691,1,1
Mon,Cal,202839548,1,1
Mon,Flo,17593226,1,1
Mon,Geo,12418748,1,1
Mon,Ida,137123674,1,1
Mon,Ill,143333048,1,1
Mon,Ind,29494526,1,1
Mon,Ken,21215361,1,1
Mon,Lou,3104687,1,1
Mon,Mai,3622135,1,1
Mon,Mry,2587239,1,1
Mon,Mas,31564317,1,1
Mon,Mic,45017961,1,1
Mon,Min,137123674,1,1
Mon,MO ,61058844,1,1
