c_e,c_I,vx,l_ex,l_im
NS,Was,18076328,2,1
NS,Wis,228256149,2,1
ON,Ala,172860692,2,1
ON,Ari,71624543,2,1
ON,Cal,3360514657,2,1
ON,Flo,458049103,2,1
ON,Geo,720809508,2,1
ON,Ida,21504650,2,1
ON,Ill,1890268839,2,1
ON,Ind,917015159,2,1
ON,Ken,1000047771,2,1
ON,Lou,117073663,2,1
ON,Mai,104572510,2,1
ON,Mry,348269276,2,1
ON,Mas,1232199472,2,1
ON,Mic,27993517370,2,1
ON,Min,1003851533,2,1
ON,MO,669320306,2,1
ON,Mon,12589265,2,1
ON,NHm,140936119,2,1
ON,NJr,1095096956,2,1
ON,Nyr,9328889709,2,1
ON,Nca,781646641,2,1
ON,Nda,30792042,2,1
ON,Ohi,2864489025,2,1
ON,Pen,1365804924,2,1
ON,Ten,598428599,2,1
ON,Tex,1076197374,2,1
ON,Ver,232899082,2,1
ON,Vir,515166762,2,1
ON,Was,301645158,2,1
ON,Wis,735550168,2,1
PEI,Ala,9929,2,1
PEI,Ari,0,2,1
PEI,Cal,1423584,2,1
PEI,Flo,4760970,2,1
PEI,Geo,1084554,2,1
PEI,Ida,38268,2,1
PEI,Ill,699103,2,1
PEI,Ind,726743,2,1
PEI,Ken,0,2,1
PEI,Lou,0,2,1
PEI,Mai,18696495,2,1
PEI,Mry,969451,2,1
PEI,Mas,26340134,2,1
PEI,Mic,1208868,2,1
PEI,Min,60583,2,1
PEI,MO,179110,2,1
PEI,Mon,0,2,1
PEI,NHm,1390074,2,1
PEI,NJr,9313353,2,1
PEI,Nyr,15564147,2,1
PEI,Nca,638981,2,1
PEI,Nda,0,2,1
PEI,Ohi,2895316,2,1
PEI,Pen,10437431,2,1
PEI,Ten,83272,2,1
PEI,Tex,1988267,2,1
PEI,Ver,1796238,2,1
PEI,Vir,2521623,2,1
PEI,Was,347356,2,1
PEI,Wis,222058,2,1
Que,Ala,171332866,2,1
Que,Ari,63390036,2,1
Que,Cal,330539064,2,1
Que,Flo,455654982,2,1
Que,Geo,244810351,2,1
Que,Ida,16807787,2,1
Que,Ill,744031646,2,1
Que,Ind,383592304,2,1
Que,Ken,252114174,2,1
Que,Lou,57909552,2,1
Que,Mai,238814687,2,1
Que,Mry,202084352,2,1
Que,Mas,948106809,2,1
Que,Mic,2196032426,2,1
Que,Min,156242637,2,1
Que,MO,165447063,2,1
Que,Mon,7413593,2,1
Que,NHm,185670500,2,1
Que,NJr,665601456,2,1
Que,Nyr,3262912820,2,1
Que,Nca,265460653,2,1
Que,Nda,21403287,2,1
Que,Ohi,706493573,2,1
Que,Pen,1166654394,2,1
Que,Ten,322061685,2,1
Que,Tex,797615433,2,1
Que,Ver,1869400276,2,1
Que,Vir,223677590,2,1
Que,Was,355422654,2,1
Que,Wis,346264967,2,1
SK,Ala,18532572,2,1
SK,Ari,5770900,2,1
SK,Cal,39419285,2,1
SK,Flo,15474709,2,1
SK,Geo,7831230,2,1
SK,Ida,8053494,2,1
SK,Ill,843616915,2,1
SK,Ind,29639208,2,1
